,x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,0.3763766858596637,0.007925478586287268,0.5651171268749655,0.48547237860876036
0.002,0.3763673968200213,0.00792653303136237,0.5640468308147468,0.4926777280897209
0.003,0.3763520324222579,0.00792827823044372,0.562993212916008,0.49978054644534775
0.004,0.37633068762594535,0.007930704353198006,0.5619561141326884,0.5067822722525679
0.005,0.3763034564864945,0.00793380170722505,0.5609353774291812,0.513684323961206
0.006,0.3762704320576981,0.007937560748584377,0.5599308480999714,0.5204880980147139
0.006999999999999999,0.37623482464673536,0.007941618308992109,0.5600295076328985,0.5198856382144816
0.008,0.3761997789803215,0.007945618107704267,0.5601272306192331,0.5192916318248358
0.009000000000000001,0.37616528973424845,0.0079495609552208,0.5602240288265825,0.5187059605902741
0.01,0.3761313516510662,0.007953447650704423,0.5603199138269284,0.5181285079175965
0.011000000000000001,0.3760979595389779,0.007957278982139002,0.5604148969995018,0.5175591588526467
0.012,0.37606510827074224,0.007961055726487212,0.560508989533648,0.5169978000571562
0.013000000000000001,0.37603279278264234,0.007964778649839035,0.5606022024315326,0.5164443197869347
0.013999999999999999,0.37600100807346193,0.007968448507559244,0.5606945465108295,0.5158986078702066
0.015,0.37596974920326537,0.007972066044461644,0.5607860324078718,0.5153605556820262
0.016,0.3759390112924049,0.007975631994952336,0.5608766705802675,0.5148300561232336
0.017,0.3759087895204839,0.007979147083178973,0.5609664713096181,0.5143070035985331
0.018000000000000002,0.37587907912533386,0.007982612023178137,0.5610554447042054,0.5137912939948457
0.019,0.3758498754020084,0.007986027519020463,0.5611436007016393,0.5132828246599938
0.02,0.37582117370204354,0.007989394264919587,0.5612309490708779,0.5127814943866896
0.021,0.37579296943296175,0.00799271294530813,0.5613174994136774,0.5122872034013569
0.022000000000000002,0.37576525805634386,0.007995984235107606,0.5614032611694028,0.5117998533245176
0.023,0.3757380350872925,0.007999208799809789,0.5614882436165712,0.5113193471588234
0.024,0.3757112960935689,0.008002387295602424,0.5615724558751638,0.5108455892705862
0.025,0.3756850366947152,0.008005520369496824,0.5616559069089694,0.5103784853710336
0.026000000000000002,0.3756592525611949,0.008008608659452954,0.5617386055278871,0.509917942497929
0.027000000000000003,0.3756339394133738,0.008011652794527143,0.5618205603906105,0.5094638689938786
0.027999999999999997,0.37560909302018186,0.00801465339506474,0.5619017800080766,0.5090161744780505
0.028999999999999998,0.3755847091992066,0.008017611072691293,0.5619822727434883,0.5085747698474231
0.03,0.37556078381557684,0.008020526430474205,0.5620620468152346,0.5081395672530469
0.031,0.3755373127811233,0.008023400063045374,0.5621411102991467,0.5077104800820275
0.032,0.3755142920536027,0.008026232556715064,0.5622194711306044,0.5072874229407905
0.033,0.37549171763593825,0.008029024489583524,0.5622971371066036,0.5068703116386795
0.034,0.3754695855752122,0.008031776431687175,0.5623741158884131,0.5064590631664866
0.035,0.37544789196082134,0.008034488945261514,0.5624504150062261,0.5060535956578721
0.036000000000000004,0.37542663292549283,0.0080371625846056,0.5625260418570031,0.50565382840919
0.037000000000000005,0.375405804644049,0.00803979789626009,0.5626010037076736,0.5052596818533466
0.038,0.37538540333255616,0.008042395419132018,0.5626753076974247,0.504871077541471
0.039,0.3753654252476142,0.008044955684599842,0.5627489608396529,0.5044879381274752
0.04,0.37534586668566033,0.008047479216616648,0.5628219700238848,0.5041101873528858
0.040999999999999995,0.37532672398220096,0.008049966531823672,0.5628943420178695,0.503737750030165
0.042,0.37530799351061495,0.008052418139724613,0.5629660834706943,0.5033705520171216
0.043,0.375289671682229,0.008054834542679704,0.563037200912864,0.5030085202177337
0.044000000000000004,0.3752717549454939,0.008057216236027391,0.5631077007585285,0.5026515825642752
0.045,0.37525423978525996,0.008059563708191995,0.5631775893074724,0.5022996680014936
0.046,0.3752371227221411,0.008061877440778898,0.5632468727468952,0.501952706472618
0.047,0.3752204003118917,0.008064157908668048,0.5633155571531607,0.5016106289056143
0.048,0.37520406914474064,0.008066405580113548,0.5633836484936477,0.501273367198546
0.049,0.3751881258442985,0.008068620916904082,0.5634511526296216,0.5009408541960273
0.05,0.37517256706758717,0.00807080437436396,0.5635180753164287,0.5006130236890229
0.051,0.3751573895043622,0.008072956401454674,0.563584422205378,0.500289810399923
0.052000000000000005,0.3751425898764441,0.008075077440875386,0.563650198845602,0.499971149967776
0.053,0.37512816493714946,0.0080771679291492,0.56371541068568,0.4996569789356033
0.054000000000000006,0.37511411147073387,0.00807922829670794,0.5637800630752331,0.4993472347379364
0.055,0.37510042629183504,0.008081258967976958,0.5638441612665208,0.49904185568834375
0.055999999999999994,0.3750871062446514,0.008083260361497497,0.5639077104166631,0.49874078096146346
0.057,0.3750741482022641,0.008085232890028802,0.5639707155895248,0.4984439505779969
0.057999999999999996,0.37506154906686495,0.00808717696052196,0.5640331817554465,0.49815130540849784
0.059000000000000004,0.3750493057691243,0.008089092974215834,0.5640951137930218,0.4978627871592738
0.06,0.3750374153084818,0.008090981323582757,0.564156516410302,0.49757833895457726
0.061,0.37502275678008606,0.00809319612622836,0.5631302591624978,0.5046072424823388
0.062,0.3750022738108799,0.008096084766925854,0.5621203211433918,0.5115361127748516
0.063,0.37497605931406053,0.008099637654858032,0.56112654579138,0.5183663537235217
0.064,0.3749442053127547,0.00810384533381186,0.5601487785052466,0.5250993495788178
0.065,0.37490680295114637,0.00810869848029445,0.5591868666116852,0.5317364652265062
0.066,0.37486394232982756,0.008114187922229458,0.5582406598886503,0.5382790431132426
0.067,0.37481883102842845,0.008119950833719046,0.5583971436183609,0.5374190773585222
0.068,0.3747746108673615,0.008125631295945542,0.558552196721927,0.5365712026762642
0.069,0.37473127370742154,0.00813123046819422,0.5587058350144518,0.5357352501917624
0.07,0.3746888114991041,0.008136749493559348,0.5588580740403438,0.5349110533989895
0.071,0.37464721628106135,0.008142189499172345,0.5590089290770536,0.534098448130216
0.07200000000000001,0.3746064801773717,0.008147551596606661,0.5591584151425484,0.5332972724965158
0.073,0.37456659539704795,0.00815283688195069,0.5593065469966592,0.5325073668770525
0.07400000000000001,0.37452755423514106,0.008158046435642987,0.5594533391380266,0.5317285739432963
0.075,0.3744893490700024,0.008163181322877936,0.5595988058115893,0.5309607385994152
0.076,0.3744519723616697,0.008168242593844542,0.5597429610129854,0.5302037079471877
0.077,0.3744154166477021,0.008173231284347536,0.5598858185000499,0.5294573311947307
0.078,0.37437967466483557,0.008178148405519368,0.560027391468991,0.5287214620998663
0.079,0.37434162104268226,0.008183348707805719,0.5590805585736902,0.5353052885019748
0.08,0.37429819525032043,0.008189180176314325,0.55814930708433,0.5417953387527082
0.081,0.37424948600573243,0.008195633819798388,0.5572334887271697,0.5481929293731548
0.08199999999999999,0.37419558118278506,0.008202700773418229,0.5563329570510587,0.5544993584443884
0.083,0.3741365678184005,0.008210372297521178,0.555447567406453,0.5607159057863453
0.084,0.3740725319783217,0.008218639792915582,0.5545771773684421,0.5668438305595592
0.085,0.37400667717578046,0.008227141006167971,0.5548087801384272,0.5655750431315556
0.086,0.373942141290358,0.008235520574484904,0.5550382621532173,0.5643240974058118
0.087,0.37387891225616443,0.00824378020851056,0.555265646710914,0.5630907441961137
0.08800000000000001,0.37381697813934983,0.008251921595013312,0.5554909567105988,0.5618747378135932
0.08900000000000001,0.3737563271359572,0.008259946397203718,0.5557142146581961,0.5606758360200021
